gene_id,MEF,Naive_CD4T,Naive_CD8T,mESCJ1,DP,Th2,Th2a,RAVCrep1,RAVCrep2
Mir3110,0,0,0,0,0,0,0,0,0
Atp1b4,0,0,0,0,0.097,0,0,0,0
Lamp2,171.457,5.486,2.609,16.285,38.417,24.555,20.334,30.86,30.86
Cul4b,86.723,8.051,4.53,255.984,41.661,26.73,14.408,46.264,46.264
Mcts1,80.89,19.905,13.725,57.527,117.862,146.019,189.89,86.557,86.557
C1galt1c1,52.027,6.053,3.582,6.09,33.843,13.497,10.177,18.129,18.129
6030498E09Rik,0,0,0,0,0,0,0,0,0
Cypt15,0,0,0,0,0,0,0,0,0
Cypt14,0,0,0,0,0,0,0,0,0
Gria3,37.615,0.054,1.207,0.639,1.559,0.34,0.942,0.028,0.028
Thoc2,41.958,18.46,9.178,27.236,90.233,50.425,10.452,31.143,31.143
Xiap,40.239,5.732,3.055,20.311,59.358,22.279,7.863,43.371,43.371
Stag2,67.095,47.596,23.671,54.057,182.722,71.244,15.053,108.33,108.33
Sh2d1a,0,48.714,24.467,0,603.489,115.343,88.589,90.023,90.023
Tenm1,0.035,0.048,0.059,0.066,3.422,0.108,0,0,0
Gm362,0,0,0,0,0,0,0,0,0
Dcaf12l2,0.205,0,0,0.137,0.288,0,0,0,0
Dcaf12l1,3.726,0.016,0,8.507,0,0,0,0.064,0.064
Prr32,1.201,0,0,0,0,0,0,0,0
4930515L19Rik,0,0,0,0,0,0,0,0,0
Actrt1,0,0,0,0,0,0,0,0,0
Smarca1,2.7,0,0,17.481,0,0,0,0,0
Ocrl,47.959,2.139,0.671,12.931,9.362,7.588,4.724,4.622,4.622
Apln,7.848,0.183,0.091,0.653,0.395,0.718,0.375,0.214,0.214
Xpnpep2,0.04,0.312,0.088,0.214,0.56,1.955,0.319,0,0
Sash3,0.343,244.514,110.563,0.061,706.534,209.202,470.026,333.644,333.644
Zdhhc9,79.523,2.487,0.983,14.369,34.75,10.866,1.083,11.171,11.171
Utp14a,32.495,22.516,12.415,89.883,37.013,45.18,15.772,36.825,36.825
9530027J09Rik,0.703,0.48,0.51,0.611,1.477,0.537,0.175,0.133,0.133
Bcorl1,15.047,0.98,0.427,8.253,18.414,6.42,1.445,7.699,7.699
Elf4,39.696,10.27,4.826,1.137,169.064,33.936,52.46,70.678,70.678
Aifm1,56.474,8.802,5.561,67.452,84.575,62.225,47.578,32.273,32.273
Rab33a,0.507,0.545,0.421,2.51,4.267,13.567,2.024,0.514,0.514
Zfp280c,21.79,3.484,1.773,19.309,43.188,13.335,4.417,9.57,9.57
Slc25a14,5.232,1.98,1.096,4.282,9.999,15.018,21.18,4.814,4.814
Gpr119,0,0,0,0,0,0,0,0,0
Rbmx2,19.521,3.975,2.299,21.922,23.551,33.711,18.275,12.024,12.024
Gm595,0,0,0,0,0,0,0,0,0
Enox2,6.286,5.27,2.684,6.644,12.928,9.66,23.212,8.714,8.714
Arhgap36,1.412,0,0,0.156,0.136,0,0,0,0
Olfr1320,0,0,0,0,0,0,0,0,0
Olfr1321,0,0,0,0,0,0,0,0,0
Igsf1,0.027,0,0,1.134,0,0,0,0,0
Olfr1322,0,0,0,0,0,0,0,0,0
Olfr1323,0,0,0,0,0,0,0,0,0
Olfr1324,0,0,0,0,0,0,0,0,0
Gm35612,0.777,0.152,0.429,0.831,4.353,0,10.063,0.982,0.982
Firre,6.691,1.231,0.506,3.456,62.108,6.685,3.398,0.399,0.399
Stk26,5.761,40.788,21.764,17.378,86.324,63.184,10.013,75.487,75.487
Frmd7,0.732,2.858,1.302,1.975,9.547,7.489,5.966,8.054,8.054
Rap2c,74.154,11.277,5.69,31.752,82.391,56.642,39.791,50.957,50.957
Mbnl3,10.066,4.215,1.674,1.87,41.651,17.984,8.129,33.433,33.433
Hs6st2,200.032,0,0,2.165,0,0,0,0,0
Usp26,0,0,0,0.67,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0,0,0,0
Gpc4,436.033,0,0.07,27.833,0,0,0,0,0
Gpc3,78.01,0,0,58.671,0.183,0,0,0,0
Mir6384,0,0,0,0,0,0,0,0,0
Mir717,0,0,0,0,0,0,0,0,0
A630012P03Rik,0,0,0,0,0,0,0,0,0
Mir363,0,0,0,8.439,0,6.027,0,0,0
Mir92-2,0,0,0,1.739,4.557,0,0,0.823,0.823
Mir19b-2,0,0,0,0,0,0,0,0,0
Mir20b,0,0,1.022,0,0,0,0,0,0
Mir18b,0,0,1.971,0,0,0,0,0,0
Mir106a,0,0,0,0,0,0,0,0,0
Kis2,0,0.426,0.181,0.039,0.408,0.223,0,0.074,0.074
Ccdc160,0,0,0,11.434,0,0,0,0.049,0.049
Phf6,26.942,7.42,3.951,42.545,50.564,51.335,24.489,62.455,62.455
Hprt,246.626,36.337,21.675,301.666,178.583,415.803,515.537,263.727,263.727
Mir450b,0,0,0,0,0,0,0,0,0
Mir450-1,0,0,0,0,0,0,0,0,0
Mir450-2,0,0,0,0,0,0,0,0,0
Mir542,0,0,0,0,0,0,0,0,0
C430049B03Rik,2.916,0.096,0.041,0.185,0.139,0.302,0.394,0.075,0.075
Mir351,0,0,0,0,0,0,0,0,0
Mir503,0,0,0,0,0,0,0,0,0
Mir322,0,0,0,0,0,0,0,0,0
Plac1,0.138,0,0,0.148,0,0,0,0,0
Fam122b,4.642,0.653,0.349,14.274,13.777,5.632,3.062,6.684,6.684
Fam122c,0.603,0,0,0,0,0,0,0,0
Mospd1,18.631,4.368,3.877,7.499,26.204,6.839,2.1,13.425,13.425
Etd,0,0,0,0,0,0,0,0,0
Cxx1c,10.877,2.85,1.503,0.582,11.324,4.273,34.079,6.526,6.526
Cxx1a,9.05,2.626,0.674,2.234,1.951,2.482,3.701,11.976,11.976
Cxx1b,13.929,3.562,1.427,2.954,6.731,7.704,9.815,22.966,22.966
4933416I08Rik,0,0,0,0,0,0,0,0,0
LOC100504039,0,0,0,0,0,0,0,0,0
AW822252,0,0,0,0.293,0,0,0,0,0
4930502E18Rik,0,0,0,1.381,0,0,0,0,0
1700013H16Rik,0,0,0,0.065,0,0,0,0,0
Zfp36l3,0,0.155,0,0.454,0.476,0,0,0,0
Xlr,0,0.197,0.157,0.202,2.298,1.349,0.503,0.957,0.957
Gm16430,0,0,0,0,0,0,0,0,0
Gm16405,0,0,0,0,0,0,0,0,0
Slxl1,0,0,0,0,0,0,0,0,0
Gm14625,0,0,0,0,0,0,0,0,0
Gm16404,0,0,0,0,0,0,0,0,0
3830403N18Rik,1.305,0.17,0.722,0,3.252,5.761,1.157,3.669,3.669
Gm773,0,0,0,0.083,0,0,0,0,0
1600025M17Rik,0.27,0,0,0,0,0,0,0,0
Zfp449,11.952,0.432,0.12,4.529,1.664,0,0,0.38,0.38
Smim10l2a,0.676,0.075,0,6.636,0.135,0.148,0.385,0.537,0.537
Ddx26b,5.361,17.831,6.347,2.722,59.235,35.964,27.573,8.963,8.963
Gm648,0,0.056,0,0.076,0,0.435,0.284,0,0
Mmgt1,78.349,4.312,2.594,14.974,42.439,10.625,13.577,24.266,24.266
Mir5116,0,0,0,0,0,0,0,0,0
Slc9a6,19.048,6.871,4.351,8.223,14.929,9.562,18.479,18.165,18.165
Fhl1,1112.486,0,0,32.05,0.14,0,0,0,0
Mtap7d3,4.922,0,0.161,6.199,0.148,0.162,0.211,0.054,0.054
Brs3,0,0.062,0,0,0.15,0,0,0,0
Htatsf1,46.21,19.414,11.633,42.083,83.515,47.266,37.487,39.54,39.54
Vgll1,0,0,0,0,0,0.381,0,0,0
Gm14718,0,0.764,0.649,0,0,0.598,6.632,1.683,1.683
Cd40lg,0,22.864,0.556,0,0,26.035,37.28,61.797,61.797
Arhgef6,1.619,31.681,16.138,0.104,143.388,73.798,62.357,105.65,105.65
Rbmx,41.736,23.786,9.932,2.874,187.881,29.827,29.47,16.358,16.358
Snord61,0,10675.88,12296.922,0,0,0,0,0,0
Gm364,0,0,0,0.658,0,0,0,0,0
Gpr101,0,0,0,0,0,0,0,0,0
Zic3,0.33,0,0,115.285,0,0,0,0,0
4930550L24Rik,0.094,0,0,0.05,0,2.3,0.563,0,0
Fgf13,20.736,2.906,3.856,1.815,30.514,7.2,6.953,12.996,12.996
Mir504,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,0,0,0
Mcf2,0.033,0,0,29.504,0,0,0,0,0
Atp11c,20.452,9.625,6.276,5.155,46.354,7.998,1.902,22.38,22.38
Mir505,0,0,3.181,0,0,0,0,0,0
Gm7073,0,0,0,0,0,0,0,0,0
Gm715,4.894,0,0,0.72,0,0,0,0.062,0.062
Sox3,0,0,0,2.145,0,0,0,0.036,0.036
C230004F18Rik,0,0,0,0,0,0,0,0,0
Cdr1,0,0,0,0,0,0,0,0,0
C030023E24Rik,0,0,0,0,0,0,0,0,0
Ldoc1,0,0,0,3.319,0.311,0.339,2.43,0,0
4933402E13Rik,0,0,0,1.953,0,0,0,0,0
1700019B21Rik,0,0,0,0.305,0,0,0,0,0
Gm6760,0,0,0,0,0,0,0,0,0
3830417A13Rik,0.718,0,0,1.007,0,0,0,0,0
Slitrk4,0,0,0,0.201,0,0,0,0,0
Ctag2,0,0,0,0,0,0,0,0,0
Slitrk2,0.075,0,0,0.06,0,0,0,0,0
Mir743,0,0,0,0,0,0,0,0,0
Mir743b,0,0,0,0,0,0,0,0,0
Mir742,0,0,0,0,0,0,0,0,0
Mir883a,0,0,0,0,0,0,0,0,0
Mir883b,0,0.74,0,0,0,0,0,0,0
Mir471,0,0,0,0,0,0,0,0,0
Mir741,0,0,0,0,0,0,0,0,0
Mir463,0,0,0,0,0,0,0,0,0
Mir880,0,0,0,0,0,0,0,0,0
Mir878,0,0,0,0,0,0,0,0,0
Mir881,0,0,0,0,0,0,0,0,0
Mir871,0,0,0,0,0,0,0,0,0
Mir470,0,0,0,0,0,0,0,0,0
Mir465d,0,0,0,0,0,0,0,0,0
Mir465c-2,0,0,0,0,0,0,0,0,0
Mir465c-1,0,0,0,0,0,0,0,0,0
Mir465b-1,0,0,0,0,0,0,0,0,0
Mir465b-2,0,0,0,0,0,0,0,0,0
Mir465,0,0,0,0,0,0,0,0,0
Gm1140,0,0,0,0,0,0,0,0,0
Gm14692,0,0,0,0,0,0,0,0,0
4933436I01Rik,0,0,0,0,0,0,0,0,0
Mir201,0,0,0,0,0,0,0,0,0
Mir547,0,0,0,0,0,0,0,0,0
Mir509,0,0,0,0,0,0,0,0,0
Fmr1os,0.054,0.084,0.015,0,0.302,0.165,0.108,0.109,0.109
Fmr1,94.224,11.071,4.937,55.146,93.241,43.794,14.523,33.63,33.63
Fmr1nb,0.159,0.124,0,43.724,0.446,0,0.317,0.08,0.08
Gm6812,0,0,0,0.15,0,0,0,0,0
Aff2,10.684,0,0.009,0.053,0,0,0,0,0
1700111N16Rik,0,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0.29,0,0,0,0,0
Ids,49.33,3.739,2.13,7.987,20.932,5.727,5.279,26.075,26.075
1110012L19Rik,16.095,9.286,3.559,35.177,21.183,22.664,51.063,24.644,24.644
4930567H17Rik,0,0,0,0,0,0,0,0,0
BC023829,37.262,8.215,5.037,23.984,27.518,15.225,20.315,21.375,21.375
Gm14725,0,0,0,0,0,0,0,0,0
Mamld1,17.074,0,0,0.023,0,0,0,0,0
Mtm1,3.822,2.909,0.93,2.473,7.391,2.452,0.457,3.094,3.094
Mtmr1,13.344,16.833,9.822,6.026,49.929,23.897,13.62,37.829,37.829
Cd99l2,37.517,5.998,2.522,5.538,27.989,12.179,16.385,17.756,17.756
Hmgb3,6.829,0.578,0.66,21.076,13.606,36.702,2.953,19.858,19.858
Gpr50,0.193,0,0,0.155,0,0,0,0,0
Vma21,17.453,0.721,0.553,13.399,9.836,10.721,3.805,17.957,17.957
Gm1141,0.207,0.134,0.038,0,0.965,0.21,0,0,0
Prrg3,4.035,0,0,1.391,0,0,0,0,0
Fate1,0,0,0,0,0,0,0,0,0
Cnga2,0,0,0,0,0,0,0,0,0
Magea4,0,0,0,0,0,0,0,0,0
Gabre,0.371,0.021,0,0.057,0.446,0,0.106,0,0
Mir224,0,0,0,0,0,0,0,0,0
Mir452,0,0,0,0,0,0,0,0,0
Magea10,0,0,0,0,0,0,0,0,0
Gabra3,0.198,0,0,0.658,0,0,0,0,0
Mir767,0,0,0,0,0,0,0,0,0
Mir105,0,0,0,0,0,0,0,0,0
Gabrq,0.028,0,0,0,0,0,0,0,0
Cetn2,32.056,15.238,12.862,72.707,83.558,106.328,220.332,90.756,90.756
Nsdhl,24.411,7.002,2.821,58.602,22.06,78.864,149.596,32.364,32.364
Zfp185,1.913,0.032,0.069,12.588,0.699,0.127,0.083,0.021,0.021
Mir2137,0,0,0,0,0,0,0,0,0
Pnma5,0,0,0,2.525,0.181,0.198,0,0,0
Pnma3,0,0,0,0.093,0.122,0,0,0,0
Xlr4a,0.497,12.653,5.082,2.126,32.378,41.745,27.24,30.104,30.104
Xlr3a,0.18,0.421,0.273,14.794,0,6.312,0,0.364,0.364
Xlr5a,0,0,0,0.144,0,0,0,0,0
DXBay18,0,0,0,0,0,0,0,0,0
Gm14685,0,0,0,0,0,0,0,0,0
Xlr5b,0,0,0,0,0,0,0,0,0
Spin2d,0,0,0,0,0,0,0,0,0
Xlr3b,0.274,1.643,0.278,0.245,0.256,0.559,0.182,2.546,2.546
Xlr4b,0.112,10.192,4.833,0.12,13.822,41.09,17.651,25.631,25.631
F8a,6,5.264,2.217,1.652,19.15,8.713,11.963,11.754,11.754
Xlr4c,0,5.948,2.675,0.194,12.884,24.761,6.27,12.669,12.669
Xlr3c,0,0,0,0.25,0.262,0,0,0.095,0.095
Xlr5c,0,0,0,0,0,0,0,0,0
Zfp275,42.869,11.435,5.393,13.956,20.547,7.797,6.197,18.1,18.1
Zfp92,0,0,0.014,0.028,0.216,0.079,0,0,0
Trex2,0,0,0,0,0.408,0,0.581,0,0
Haus7,37.389,11.336,7.64,37.904,53.463,34.768,43.646,18.589,18.589
Bgn,3913.727,0.024,0,22.915,0,0,0,0,0
Atp2b3,0,0,0,0.035,0.061,0,0,0,0
Dusp9,15.615,0.043,0.045,96.31,1.996,1.172,0.218,0.25,0.25
Pnck,1.942,0.31,0.439,1.18,6.68,0,0,0.179,0.179
Slc6a8,75.992,0.711,0.123,37.597,5.419,1.363,2.075,0.922,0.922
Bcap31,252.849,59.069,39.245,159.591,296.81,382.739,807.309,273.879,273.879
Abcd1,12.005,10.339,4.329,4.885,110.214,14.752,14.569,54.361,54.361
Plxnb3,0.049,0,0.054,0.026,0.275,0,4.996,0.124,0.124
Srpk3,0.075,2.412,1.229,0.081,3.168,0.23,1.953,0.038,0.038
Idh3g,99.251,71.489,38.96,153.229,344.24,180.32,611.81,160.163,160.163
Ssr4,245.449,47.971,35.86,80.095,161.423,355.295,923.326,187.78,187.78
Pdzd4,11.397,1.177,0.371,127.291,21.818,0.683,0.149,0.264,0.264
L1cam,0.532,6.988,0.634,1.78,3.685,5.812,5.856,5.181,5.181
Avpr2,0,4.748,1.625,0.044,32.265,2.245,0.326,0.867,0.867
Arhgap4,0.401,208.175,72.924,1.691,431.626,80.708,161.544,172.805,172.805
Naa10,61.638,47.24,19.402,184.967,157.063,182.765,289.63,174.369,174.369
Renbp,15.336,0.204,0.606,61.649,19.299,18.169,2.704,8.182,8.182
Hcfc1,131.881,22.498,10.302,143.913,335.466,48.931,31.277,83.985,83.985
Irak1,65.008,16.599,7.724,15.962,39.106,51.77,44.222,72.202,72.202
Mir5132,0,0,0,0,5.84,0,0,0,0
Mir718,0,0,0,0,0,0,0,0,0
Mecp2,20.553,7.196,3.025,3.499,55.684,8.604,3.38,16.609,16.609
Opn1mw,0,0,0,0,0,0,0,0,0
Tex28,0,0,0,0,0,0,0,0,0
Tktl1,1.437,0.023,0.017,0.608,0.503,0.366,1.074,0.03,0.03
Flna,2782.415,373.601,129.369,218.177,417.172,146.056,176.13,238.887,238.887
Emd,158.373,21.205,12.644,112.712,111.107,65.498,76.083,97.807,97.807
Rpl10,22.515,337.275,174.126,3353.414,20.863,1881.868,27.453,3125.017,3125.017
Snora70,38.99,1064.79,2342.439,25.757,28.929,63.068,16.004,5.802,5.802
Dnase1l1,4.462,7.334,3.629,1.652,6.253,13.633,35.242,8.249,8.249
Mir7091,5.618,1.462,0,0,0,0,0,0,0
Taz,13.639,52.446,29.294,7.726,49.088,31.563,88.658,27.033,27.033
Atp6ap1,230.582,74.618,46.836,43.007,138.278,92.504,69.254,129.425,129.425
Gdi1,115.473,32.422,11.282,37.159,323.976,84.036,93.465,37.214,37.214
Fam50a,58.082,17.659,11.946,54.686,117.228,93.47,159.944,61.916,61.916
Mir7092,0,0,0,0,0,0,0,0,0
Plxna3,23.501,1.497,0.601,3.054,3.165,2.083,2.124,0.291,0.291
Lage3,41.849,17.625,9.255,80.672,88.385,64.825,109.437,52.002,52.002
Ubl4a,13.28,4.211,2.506,14.443,30.781,8.778,11.074,16.346,16.346
SlcUbl4a,0.249,0.097,0,0,0,0,0,0.126,0.126
Slc10a3,23.277,13.97,6.799,4.893,11.9,10.064,52.975,18.259,18.259
Fam3a,29.586,14.721,5.955,6.051,30.54,17.414,35.927,21.713,21.713
Ikbkg,28.025,14.113,8.205,8.024,31.913,11.867,15.894,16.724,16.724
G6pdx,67.463,20.085,9.677,85.19,51.831,55.635,99.89,52.047,52.047
Gm6880,0,0,0,0.757,0,0,0,0,0
Olfr1325,0,0,0,0,0,0,0,0,0
Gm5640,0,0,0,0,0,0,0,0,0
Gm6890,0,0,0,0,0,0,0,0,0
Gm5936,0,0,0,0,0.144,0,0,0,0
Gm38425,0,0,0,0,0,0,0,0,0
Gab3,0.069,4.149,2.305,0.334,7.011,0.637,4.849,5.414,5.414
Dkc1,79.059,32.154,20.849,293.132,103.402,121.584,59.029,78.777,78.777
Mpp1,84.424,17.607,7.24,28.449,164.38,19.512,32.823,211.54,211.54
Smim9,0.421,0,0,0.113,0,0,0,0,0
F8,1.005,0.031,0.098,0.569,0.497,0.06,0.039,0.14,0.14
Fundc2,44.502,2.957,1.956,29.112,51.497,22.177,81.128,52.609,52.609
Cmc4,2.341,2.17,1.254,1.017,12.714,4.471,19.546,4.22,4.22
Mtcp1,3.348,4.909,1.901,0.871,15.47,1.659,3.608,1.969,1.969
Brcc3,13.91,6.414,3.185,16.227,31.638,20.693,27.998,16.697,16.697
Vbp1,104.966,16.265,10.192,215.295,77.697,101.352,82.346,110.477,110.477
Rab39b,5.131,0,0.012,1.302,0.244,0.93,0.78,0.022,0.022
4933407K13Rik,2.717,0.889,0.557,0.445,6.755,1.339,0.175,1.308,1.308
Pls3,634.218,0.017,0.059,36.021,1.069,0.647,0.76,0.129,0.129
Cldn34b3,0,0,0,0,0,0,0,0,0
Cldn34b4,0,0,0,0,0,0,0,0,0
Cldn34d,0,0,0,0,0,0,0,0,0
Mir669m-2,0,0,0,0,0,0,0,0,0
Tbl1x,178.392,34.437,12.826,52.615,142.478,50.461,18.193,75.111,75.111
Cldn34-ps,0.232,0,0,0,0,0,0,0,0
Prkx,23.418,7.827,4.677,8.012,40.185,16.198,4.504,21.973,21.973
Pbsn,0,0,0,0,0,0,0,0,0
Gm14744,0,0,0,0,0,0,0,0,0
5430402E10Rik,0,0,0,0,0,0,0,0,0
Obp1a,0,0,0,0,0,0,0,0,0
Gm5938,0,0,0,0,0,0,0,0,0
Gm14743,0,0,0,0,0,0,0,0,0
4930480E11Rik,0,0,0,0,0,0,0,0,0
Prrg1,3.151,1.644,0.577,0.823,5.134,2.798,0.146,5.394,5.394
Fam47c,0,0,0,0,0,0,0,0,0
Gm8787,0,0,0,0.114,0.298,0,0,0,0
Gm7173,0,0,0,0.14,0,0,0,0,0
Mageb16,0,0,0,20.367,0,0,0,0,0
Tmem47,88.679,0,0,12.869,0,0.111,0,0,0
4930595M18Rik,0,0.022,0,0,0,0,0,0,0
Dmd,14.941,0,0,10.377,0.15,0.033,0,0.076,0.076
Tsga8,0,0,0,0,0,0,0,0,0
1600014K23Rik,0,0,0,0.659,0,0,0,0,0
