Xkr4,1,3214482,3671498,-1,Xkr4_function,Xkr4,Xkr4_Description
Rp1,1,4290846,4409241,-1,Rp1_function,Rp1,Rp1_Description
Sox17,1,4490928,4497354,-1,Sox17_function,Sox17,Sox17_Description
Mrpl15,1,4773200,4785726,-1,Mrpl15_function,Mrpl15,Mrpl15_Description
Lypla1,1,4807893,4846735,1,Lypla1_function,Lypla1,Lypla1_Description
Tcea1,1,4857694,4897909,1,Tcea1_function,Tcea1,Tcea1_Description
Rgs20,1,4909576,5070285,-1,Rgs20_function,Rgs20,Rgs20_Description
Atp6v1h,1,5083173,5162549,1,Atp6v1h_function,Atp6v1h,Atp6v1h_Description
Oprk1,1,5588493,5606133,1,Oprk1_function,Oprk1,Oprk1_Description
Npbwr1,1,5913707,5917398,-1,Npbwr1_function,Npbwr1,Npbwr1_Description
Rb1cc1,1,6214662,6276104,1,Rb1cc1_function,Rb1cc1,Rb1cc1_Description
Fam150a,1,6359331,6394731,1,Fam150a_function,Fam150a,Fam150a_Description
St18,1,6487231,6860940,1,St18_function,St18,St18_Description
Pcmtd1,1,7088920,7173628,1,Pcmtd1_function,Pcmtd1,Pcmtd1_Description
Sntg1,1,8359739,9299877,-1,Sntg1_function,Sntg1,Sntg1_Description
Rrs1,1,9545408,9547455,1,Rrs1_function,Rrs1,Rrs1_Description
Adhfe1,1,9548046,9577968,1,Adhfe1_function,Adhfe1,Adhfe1_Description
2610203C22Rik,1,9560833,9631092,-1,2610203C22Rik_function,2610203C22Rik,2610203C22Rik_Description
3110035E14Rik,1,9601267,9627142,1,3110035E14Rik_function,3110035E14Rik,3110035E14Rik_Description
Mybl1,1,9667411,9700209,-1,Mybl1_function,Mybl1,Mybl1_Description
Vcpip1,1,9718622,9748382,-1,Vcpip1_function,Vcpip1,Vcpip1_Description
1700034P13Rik,1,9747648,9771256,1,1700034P13Rik_function,1700034P13Rik,1700034P13Rik_Description
Sgk3,1,9798130,9902568,1,Sgk3_function,Sgk3,Sgk3_Description
Mcmdc2,1,9908638,9940954,1,Mcmdc2_function,Mcmdc2,Mcmdc2_Description
Snhg6,1,9942025,9944118,-1,Snhg6_function,Snhg6,Snhg6_Description
Snord87,1,9942470,9942543,-1,Snord87_function,Snord87,Snord87_Description
Tcf24,1,9960163,9967485,-1,Tcf24_function,Tcf24,Tcf24_Description
Ppp1r42,1,9968622,10009136,-1,Ppp1r42_function,Ppp1r42,Ppp1r42_Description
Cops5,1,10024600,10038159,-1,Cops5_function,Cops5,Cops5_Description
Cspp1,1,10038218,10136768,1,Cspp1_function,Cspp1,Cspp1_Description
Arfgef1,1,10137507,10232670,-1,Arfgef1_function,Arfgef1,Arfgef1_Description
Cpa6,1,10324719,10719945,-1,Cpa6_function,Cpa6,Cpa6_Description
Mir467e,1,10708387,10865874,-1,Mir467e_function,Mir467e,Mir467e_Description
Prex2,1,10993465,11303682,1,Prex2_function,Prex2,Prex2_Description
A830018L16Rik,1,11414105,11975902,1,A830018L16Rik_function,A830018L16Rik,A830018L16Rik_Description
Mir6341,1,12425986,12426106,1,Mir6341_function,Mir6341,Mir6341_Description
Gm17644,1,12667563,12673090,1,Gm17644_function,Gm17644,Gm17644_Description
Sulf1,1,12692430,12860372,1,Sulf1_function,Sulf1,Sulf1_Description
Slco5a1,1,12866550,12991135,-1,Slco5a1_function,Slco5a1,Slco5a1_Description
Prdm14,1,13113428,13127163,-1,Prdm14_function,Prdm14,Prdm14_Description
Ncoa2,1,13139105,13374083,-1,Ncoa2_function,Ncoa2,Ncoa2_Description
Tram1,1,13564693,13589910,-1,Tram1_function,Tram1,Tram1_Description
Lactb2,1,13625900,13660509,-1,Lactb2_function,Lactb2,Lactb2_Description
Xkr9,1,13668771,13701723,1,Xkr9_function,Xkr9,Xkr9_Description
Gm5523,1,13785685,13786929,-1,Gm5523_function,Gm5523,Gm5523_Description
Eya1,1,14168958,14310199,-1,Eya1_function,Eya1,Eya1_Description
Msc,1,14753346,14755966,-1,Msc_function,Msc,Msc_Description
Trpa1,1,14872648,14918862,-1,Trpa1_function,Trpa1,Trpa1_Description
Kcnb2,1,15312452,15714214,1,Kcnb2_function,Kcnb2,Kcnb2_Description
Terf1,1,15805646,15844052,1,Terf1_function,Terf1,Terf1_Description
Sbspon,1,15853862,15892722,-1,Sbspon_function,Sbspon,Sbspon_Description
4930444P10Rik,1,16065979,16093325,-1,4930444P10Rik_function,4930444P10Rik,4930444P10Rik_Description
Rpl7,1,16101296,16104433,-1,Rpl7_function,Rpl7,Rpl7_Description
Rdh10,1,16105882,16132550,1,Rdh10_function,Rdh10,Rdh10_Description
Stau2,1,16228810,16519302,-1,Stau2_function,Stau2,Stau2_Description
Ube2w,1,16540788,16619338,-1,Ube2w_function,Ube2w,Ube2w_Description
Tceb1,1,16642765,16656865,-1,Tceb1_function,Tceb1,Tceb1_Description
D030040B21Rik,1,16657552,16662278,1,D030040B21Rik_function,D030040B21Rik,D030040B21Rik_Description
Tmem70,1,16665191,16678275,1,Tmem70_function,Tmem70,Tmem70_Description
